Date,Open,High,Low,Close,Adj Close,Volume
2020-04-15,5303.0,5568.0,5568.0,5568.0,5568.0,17297770
2020-04-14,5175.0,5433.0,5021.0,5303.0,5303.0,129585778
2020-04-13,5354.0,5360.0,5087.0,5175.0,5175.0,162696180
2020-04-12,5308.0,5550.0,5201.0,5354.0,5354.0,294716716
2020-04-11,5056.0,5308.0,5201.0,5308.0,5308.0,312846084
2020-04-08,4816.0,5056.0,5056.0,5056.0,5056.0,63137134
2020-04-07,4593.0,4822.0,4700.0,4816.0,4816.0,142612807
2020-04-06,4377.0,4595.0,4377.0,4593.0,4593.0,400637669
2020-04-05,4169.0,4377.0,4377.0,4377.0,4377.0,179213462
2020-04-04,3971.0,4169.0,4113.0,4169.0,4169.0,149519865
2020-03-30,4046.0,4042.0,3900.0,3971.0,3971.0,79292065
2020-03-29,4017.0,4141.0,3950.0,4046.0,4046.0,61933774
2020-03-28,3970.0,4113.0,3851.0,4017.0,4017.0,53761027
2020-03-25,3863.0,4049.0,3870.0,3970.0,3970.0,38328778
2020-03-24,4043.0,4110.0,3841.0,3863.0,3863.0,65724030
2020-03-18,3859.0,4051.0,3925.0,4043.0,4043.0,62649786
2020-03-17,3872.0,3920.0,3725.0,3859.0,3859.0,30432576
2020-03-16,3690.0,3874.0,3800.0,3872.0,3872.0,56347736
2020-03-15,3861.0,3794.0,3668.0,3690.0,3690.0,68732779
2020-03-14,4042.0,3949.0,3840.0,3861.0,3861.0,14032356
2020-03-11,3976.0,4097.0,3986.0,4042.0,4042.0,110389641
2020-03-10,4165.0,4079.0,3957.0,3976.0,3976.0,46653203
2020-03-09,4384.0,4165.0,4165.0,4165.0,4165.0,28593425
2020-03-07,4456.0,4603.0,4251.0,4384.0,4384.0,43741851
2020-03-04,4292.0,4503.0,4360.0,4456.0,4456.0,49626674
2020-03-03,4126.0,4332.0,4199.0,4292.0,4292.0,67577246
2020-03-02,4064.0,4220.0,4064.0,4126.0,4126.0,59246008
2020-03-01,4008.0,4143.0,4000.0,4064.0,4064.0,61038600
2020-02-29,4212.0,4099.0,4002.0,4008.0,4008.0,80306467
2020-02-26,4159.0,4358.0,4121.0,4212.0,4212.0,46911834
2020-02-25,4095.0,4275.0,4055.0,4159.0,4159.0,44841766
2020-02-24,4020.0,4179.0,4031.0,4095.0,4095.0,55258909
2020-02-23,3837.0,4028.0,3899.0,4020.0,4020.0,53601646
2020-02-22,3933.0,3933.0,3737.0,3837.0,3837.0,55214529
2020-02-19,3956.0,4028.0,3852.0,3933.0,3933.0,56553865
2020-02-18,4107.0,4050.0,3902.0,3956.0,3956.0,35972014
2020-02-17,4136.0,4260.0,4013.0,4107.0,4107.0,47313381
2020-02-16,3996.0,4183.0,4060.0,4136.0,4136.0,64268131
2020-02-15,3891.0,4085.0,3900.0,3996.0,3996.0,73250377
2020-02-12,3765.0,3943.0,3801.0,3891.0,3891.0,72323793
2020-02-10,3878.0,3901.0,3685.0,3765.0,3765.0,68106221
2020-02-09,3838.0,3970.0,3821.0,3878.0,3878.0,114170853
2020-02-08,3667.0,3850.0,3745.0,3838.0,3838.0,155753935
2020-02-05,3633.0,3735.0,3620.0,3667.0,3667.0,40332188
2020-02-04,3722.0,3820.0,3553.0,3633.0,3633.0,52730685
